# /home/yihan/monitor/analysis 25244 -u20 -U150 -p8 -y85 -Y93 -GP -d 3.9 -q 0.874342 
# Crop window: [0, 511; 85, 93] Normalization: 0.908168		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25244          8.743420e-01 4.000e+01 2.163e+03 1.591e+00 -6.863e+05 2.897e-10 8.063e+03  4.945e+02  5.000e+00  0.000e+00  1.681e+01  3.654e-02 2.634e+02 1.552e+02 5.000e-01 0.000e+00
# error                     0 3.956e+02         0         0 1.549e+04 1.000e-03  8.152e+02  4.945e+01  1.000e-03          0         0 4.699e+01
# 
# z    intNum       Fit     Error       Res
0.000e+00 -6.884e+02  0.000e+00  4.604e+02 -6.884e+02
1.000e+00 -7.032e+02  0.000e+00  5.003e+02 -7.032e+02
2.000e+00 -1.409e+02  0.000e+00  5.389e+02 -1.409e+02
3.000e+00 -4.432e+02  0.000e+00  5.477e+02 -4.432e+02
4.000e+00 -1.465e+03  0.000e+00  5.644e+02 -1.465e+03
5.000e+00 -3.574e+03  0.000e+00  5.776e+02 -3.574e+03
6.000e+00 -2.691e+03  0.000e+00  5.253e+02 -2.691e+03
7.000e+00 -3.264e+03  0.000e+00  5.223e+02 -3.264e+03
8.000e+00 -9.731e+02  0.000e+00  4.938e+02 -9.731e+02
9.000e+00 -1.772e+03  0.000e+00  5.211e+02 -1.772e+03
1.000e+01 -2.309e+03  0.000e+00  5.481e+02 -2.309e+03
1.100e+01 -5.142e+02  0.000e+00  5.089e+02 -5.142e+02
1.200e+01 -2.864e+03  0.000e+00  5.141e+02 -2.864e+03
1.300e+01 -1.604e+02  0.000e+00  5.041e+02 -1.604e+02
1.400e+01  1.101e+03  0.000e+00  4.780e+02  1.101e+03
1.500e+01  7.375e+02  0.000e+00  4.952e+02  7.375e+02
1.600e+01 -1.954e+02  0.000e+00  4.943e+02 -1.954e+02
1.700e+01 -1.919e+03  0.000e+00  5.063e+02 -1.919e+03
1.800e+01 -5.023e+03  0.000e+00  5.383e+02 -5.023e+03
1.900e+01 -3.378e+03  0.000e+00  5.157e+02 -3.378e+03
2.000e+01 -2.784e+03  0.000e+00  4.986e+02 -2.784e+03
2.100e+01 -2.029e+03  0.000e+00  4.600e+02 -2.029e+03
2.200e+01 -8.658e+02  0.000e+00  4.463e+02 -8.658e+02
2.300e+01 -6.670e+02  0.000e+00  4.021e+02 -6.670e+02
2.400e+01 -1.356e+03  0.000e+00  4.049e+02 -1.356e+03
2.500e+01 -3.381e+03  0.000e+00  4.325e+02 -3.381e+03
2.600e+01 -2.968e+03  0.000e+00  4.315e+02 -2.968e+03
2.700e+01 -1.547e+03  0.000e+00  4.100e+02 -1.547e+03
2.800e+01 -2.254e+03  0.000e+00  4.010e+02 -2.254e+03
2.900e+01 -1.485e+03  0.000e+00  3.768e+02 -1.485e+03
3.000e+01 -2.097e+02  0.000e+00  3.734e+02 -2.097e+02
3.100e+01 -6.461e+02  0.000e+00  3.838e+02 -6.461e+02
3.200e+01  6.403e+02  0.000e+00  3.620e+02  6.403e+02
3.300e+01  1.820e+02  0.000e+00  3.647e+02  1.820e+02
3.400e+01 -1.100e+03  0.000e+00  3.888e+02 -1.100e+03
3.500e+01 -1.469e+03  0.000e+00  3.978e+02 -1.469e+03
3.600e+01 -1.543e+03  0.000e+00  4.418e+02 -1.543e+03
3.700e+01 -3.261e+03  0.000e+00  4.846e+02 -3.261e+03
3.800e+01 -2.941e+03  0.000e+00  5.066e+02 -2.941e+03
3.900e+01 -2.707e+03  0.000e+00  5.188e+02 -2.707e+03
4.000e+01  2.766e+02  0.000e+00  4.929e+02  2.766e+02
4.100e+01 -9.428e+02  0.000e+00  5.042e+02 -9.428e+02
4.200e+01 -1.542e+03  0.000e+00  4.947e+02 -1.542e+03
4.300e+01 -1.663e+03  0.000e+00  4.899e+02 -1.663e+03
4.400e+01 -6.177e+02  0.000e+00  4.626e+02 -6.177e+02
4.500e+01  3.985e+02  0.000e+00  4.693e+02  3.985e+02
4.600e+01 -1.238e+03  0.000e+00  4.609e+02 -1.238e+03
4.700e+01 -8.650e+02  0.000e+00  4.533e+02 -8.650e+02
4.800e+01 -1.513e+03  0.000e+00  4.716e+02 -1.513e+03
4.900e+01 -3.097e+03  0.000e+00  4.697e+02 -3.097e+03
5.000e+01 -2.652e+03  0.000e+00  4.544e+02 -2.652e+03
5.100e+01 -2.780e+03  0.000e+00  4.677e+02 -2.780e+03
5.200e+01 -5.023e+03  0.000e+00  5.064e+02 -5.023e+03
5.300e+01 -2.397e+03  0.000e+00  4.670e+02 -2.397e+03
5.400e+01 -2.610e+03  0.000e+00  4.782e+02 -2.610e+03
5.500e+01 -2.910e+03  0.000e+00  4.860e+02 -2.910e+03
5.600e+01 -1.634e+03  0.000e+00  5.019e+02 -1.634e+03
5.700e+01  8.595e+02  0.000e+00  5.270e+02  8.595e+02
5.800e+01 -2.319e+03  0.000e+00  5.484e+02 -2.319e+03
5.900e+01 -1.078e+03  0.000e+00  5.230e+02 -1.078e+03
6.000e+01  1.230e+02  0.000e+00  5.147e+02  1.230e+02
6.100e+01 -1.231e+03  0.000e+00  5.093e+02 -1.231e+03
6.200e+01  5.618e+02  0.000e+00  4.925e+02  5.618e+02
6.300e+01 -2.248e+03  0.000e+00  5.112e+02 -2.248e+03
6.400e+01 -1.176e+03  0.000e+00  4.707e+02 -1.176e+03
6.500e+01 -1.818e+03  0.000e+00  4.372e+02 -1.818e+03
6.600e+01 -8.719e+02  0.000e+00  4.145e+02 -8.719e+02
6.700e+01 -1.965e+02  0.000e+00  4.230e+02 -1.965e+02
6.800e+01 -3.058e+02  0.000e+00  4.657e+02 -3.058e+02
6.900e+01 -2.135e+03  0.000e+00  4.752e+02 -2.135e+03
7.000e+01 -1.662e+03  0.000e+00  4.522e+02 -1.662e+03
7.100e+01 -1.606e+03  0.000e+00  3.962e+02 -1.606e+03
7.200e+01 -9.925e+02  0.000e+00  3.638e+02 -9.925e+02
7.300e+01 -1.632e+03  0.000e+00  3.659e+02 -1.632e+03
7.400e+01 -1.718e+03  0.000e+00  3.711e+02 -1.718e+03
7.500e+01  4.603e+02  0.000e+00  3.551e+02  4.603e+02
7.600e+01  5.788e+02  0.000e+00  3.482e+02  5.788e+02
7.700e+01  3.701e+02  0.000e+00  3.583e+02  3.701e+02
7.800e+01 -1.255e+03  0.000e+00  3.535e+02 -1.255e+03
7.900e+01 -1.069e+03  0.000e+00  3.399e+02 -1.069e+03
8.000e+01 -1.193e+03  0.000e+00  3.418e+02 -1.193e+03
8.100e+01 -1.997e+03  0.000e+00  3.556e+02 -1.997e+03
8.200e+01 -1.575e+03  0.000e+00  3.529e+02 -1.575e+03
8.300e+01 -1.178e+03  0.000e+00  3.614e+02 -1.178e+03
8.400e+01 -2.042e+03  0.000e+00  3.594e+02 -2.042e+03
8.500e+01 -1.317e+03  0.000e+00  3.565e+02 -1.317e+03
8.600e+01 -1.197e+03  0.000e+00  3.485e+02 -1.197e+03
8.700e+01 -1.080e+03  0.000e+00  3.467e+02 -1.080e+03
8.800e+01 -3.193e+02  0.000e+00  3.427e+02 -3.193e+02
8.900e+01 -4.418e+02  0.000e+00  3.407e+02 -4.418e+02
9.000e+01 -1.414e+02  0.000e+00  3.394e+02 -1.414e+02
9.100e+01 -1.108e+03  0.000e+00  3.275e+02 -1.108e+03
9.200e+01 -1.969e+03  0.000e+00  3.159e+02 -1.969e+03
9.300e+01 -8.278e+01  0.000e+00  2.998e+02 -8.278e+01
9.400e+01 -1.870e+02  0.000e+00  2.919e+02 -1.870e+02
9.500e+01 -6.548e+02  0.000e+00  2.966e+02 -6.548e+02
9.600e+01 -1.143e+03  0.000e+00  3.005e+02 -1.143e+03
9.700e+01 -1.789e+03  0.000e+00  3.093e+02 -1.789e+03
9.800e+01 -1.280e+03  0.000e+00  3.100e+02 -1.280e+03
9.900e+01 -2.827e+03  0.000e+00  3.362e+02 -2.827e+03
1.000e+02 -1.625e+03  0.000e+00  3.257e+02 -1.625e+03
1.010e+02 -2.553e+03  0.000e+00  3.573e+02 -2.553e+03
1.020e+02 -1.678e+03  0.000e+00  3.750e+02 -1.678e+03
1.030e+02 -7.835e+02  0.000e+00  3.636e+02 -7.835e+02
1.040e+02 -1.456e+03  0.000e+00  3.751e+02 -1.456e+03
1.050e+02 -2.931e+03  0.000e+00  3.857e+02 -2.931e+03
1.060e+02 -2.939e+03  0.000e+00  3.570e+02 -2.939e+03
1.070e+02 -3.504e+03  0.000e+00  3.396e+02 -3.504e+03
1.080e+02 -1.681e+03  0.000e+00  3.122e+02 -1.681e+03
1.090e+02 -2.114e+03  0.000e+00  3.158e+02 -2.114e+03
1.100e+02 -1.999e+03  0.000e+00  3.039e+02 -1.999e+03
1.110e+02 -2.609e+03  0.000e+00  3.090e+02 -2.609e+03
1.120e+02 -2.045e+03  0.000e+00  3.002e+02 -2.045e+03
1.130e+02 -2.222e+03  0.000e+00  3.031e+02 -2.222e+03
