# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
0.000e+00 -5.212e+03  1.870e-11  1.446e+03 -5.212e+03
1.000e+00 -4.171e+03  2.445e-11  1.458e+03 -4.171e+03
2.000e+00 -8.074e+03  3.195e-11  1.416e+03 -8.074e+03
3.000e+00 -2.027e+03  4.170e-11  1.309e+03 -2.027e+03
4.000e+00  1.846e+02  5.436e-11  1.211e+03  1.846e+02
5.000e+00 -4.796e+03  7.079e-11  1.167e+03 -4.796e+03
6.000e+00 -2.504e+03  9.210e-11  1.133e+03 -2.504e+03
7.000e+00 -2.099e+02  1.197e-10  1.103e+03 -2.099e+02
8.000e+00  1.359e+03  1.554e-10  1.081e+03  1.359e+03
9.000e+00  3.331e+03  2.015e-10  1.079e+03  3.331e+03
1.000e+01 -2.403e+03  2.611e-10  1.103e+03 -2.403e+03
1.100e+01 -2.628e+03  3.379e-10  1.129e+03 -2.628e+03
1.200e+01 -2.535e+03  4.368e-10  1.131e+03 -2.535e+03
1.300e+01  4.543e+02  5.640e-10  1.158e+03  4.543e+02
1.400e+01  4.338e+03  7.276e-10  1.175e+03  4.338e+03
1.500e+01  4.164e+03  9.377e-10  1.218e+03  4.164e+03
1.600e+01  4.610e+03  1.207e-09  1.257e+03  4.610e+03
1.700e+01  8.357e+02  1.552e-09  1.258e+03  8.357e+02
1.800e+01 -3.927e+03  1.994e-09  1.290e+03 -3.927e+03
1.900e+01 -3.428e+03  2.559e-09  1.285e+03 -3.428e+03
2.000e+01 -2.438e+03  3.280e-09  1.277e+03 -2.438e+03
2.100e+01  1.606e+03  4.201e-09  1.273e+03  1.606e+03
2.200e+01  4.665e+03  5.374e-09  1.248e+03  4.665e+03
2.300e+01  4.499e+03  6.867e-09  1.256e+03  4.499e+03
2.400e+01  1.956e+03  8.766e-09  1.227e+03  1.956e+03
2.500e+01  2.106e+03  1.118e-08  1.186e+03  2.106e+03
2.600e+01 -2.842e+03  1.424e-08  1.155e+03 -2.842e+03
2.700e+01 -4.044e+03  1.812e-08  1.174e+03 -4.044e+03
2.800e+01  3.530e+03  2.303e-08  1.195e+03  3.530e+03
